CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1041,605,4463.0,8997,230,520.0
Aragón,659,349,1716.0,3549,100,255.0
Asturias,294,102,958.0,1705,26,91.0
Baleares,616,89,731.0,1412,43,129.0
C. Valenciana,1344,724,1714.0,7655,212,371.0
Canarias,249,91,703.0,1762,37,138.0
Cantabria,175,92,700.0,1572,71,69.0
Castilla La Mancha,1557,1255,2731.0,11788,711,354.0
Castilla y León,2988,1028,5322.0,10058,477,342.0
Cataluña,12250,3041,20250.0,29647,1324,2442.0
Ceuta,7,4,9.0,84,1,4.0
Extremadura,328,271,898.0,2184,68,98.0
Galicia,800,213,2014.0,6538,207,158.0
La Rioja,1061,177,955.0,2951,105,68.0
Madrid,19836,5586,13289.0,42450,1981,1450.0
Melilla,12,2,40.0,93,1,3.0
Murcia,203,85,515.0,1326,43,86.0
Navarra,450,206,1526.0,3467,112,124.0
País Vasco,4151,635,4982.0,9452,431,430.0
ESPAÑA,48021,14555,63516.0,146690,6180,7132.0
