CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1630,737,4808.0,9712,202,602.0
Aragón,888,425,1860.0,3969,138,266.0
Asturias,414,128,1147.0,1827,28,105.0
Baleares,757,102,778.0,1507,19,137.0
C. Valenciana,2289,818,4132.0,8578,247,565.0
Canarias,432,95,745.0,1887,29,144.0
Cantabria,281,107,773.0,1719,60,75.0
Castilla La Mancha,2205,1483,2198.0,13456,393,316.0
Castilla y León,3757,1180,5817.0,11543,441,327.0
Cataluña,14258,3331,21921.0,32984,1160,2629.0
Ceuta,17,4,9.0,93,2,4.0
Extremadura,462,303,1052.0,2486,154,104.0
Galicia,1082,261,2215.0,7176,230,144.0
La Rioja,1337,207,1082.0,3223,147,73.0
Madrid,23663,6084,11894.0,45849,1066,1376.0
Melilla,18,2,43.0,98,3,3.0
Murcia,275,94,533.0,1413,30,88.0
Navarra,603,227,1641.0,3817,69,124.0
País Vasco,4741,765,5402.0,10515,412,453.0
ESPAÑA,59109,16353,68050.0,161852,4830,7535.0
