CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
0,0.0,0.0,0.0,0.0,0.0,0.0
Andalucía,2032.0,836.0,5054.0,10192.0,0.0,631.0
Aragón,963.0,492.0,1966.0,4245.0,58.0,280.0
Asturias,458.0,156.0,1330.0,2051.0,93.0,111.0
Baleares,871.0,118.0,826.0,1571.0,21.0,145.0
C. Valenciana,3069.0,907.0,4397.0,9213.0,153.0,581.0
Canarias,589.0,102.0,771.0,1958.0,14.0,147.0
Cantabria,323.0,120.0,853.0,1796.0,19.0,76.0
Castilla La Mancha,2943.0,1714.0,7830.0,14329.0,275.0,486.0
Castilla y León,4266.0,1299.0,6175.0,13180.0,552.0,308.0
Cataluña,15967.0,3666.0,23126.0,35197.0,471.0,2775.0
Ceuta,22.0,4.0,9.0,96.0,1.0,4.0
Extremadura,578.0,334.0,1114.0,2684.0,26.0,108.0
Galicia,1240.0,290.0,2403.0,7597.0,103.0,133.0
La Rioja,1519.0,234.0,1152.0,3420.0,62.0,74.0
Madrid,26247.0,6568.0,10753.0,48048.0,902.0,1299.0
Melilla,18.0,2.0,43.0,101.0,0.0,3.0
Murcia,476.0,106.0,566.0,1487.0,24.0,96.0
Navarra,730.0,249.0,1705.0,4150.0,58.0,124.0
País Vasco,5193.0,859.0,5679.0,11226.0,208.0,470.0
ESPAÑA,67504.0,18056.0,75752.0,172541.0,3040.0,7851.0
