Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-03-26,56,Madrid,17166,12440,1221.0,2090.0,3882,2569
2020-03-26,56,Melilla,39,16,2.0,1.0,0,1
2020-03-26,56,Murcia,596,172,36.0,8.0,9,119
2020-03-26,56,Navarra,1411,649,54.0,49.0,35,214
2020-03-26,56,Pais Vasco,3946,1907,137.0,180.0,621,675
2020-03-26,56,La Rioja,995,316,36.0,43.0,48,67
2020-03-27,57,Andalucia,3793,1843,148.0,144.0,92,387
2020-03-27,57,Aragon,1338,693,114.0,58.0,8,222
2020-03-27,57,Asturias,900,339,47.0,29.0,52,59
2020-03-27,57,Baleares,755,237,46.0,22.0,67,95
2020-03-27,57,Canarias,878,328,61.0,27.0,20,94
2020-03-27,57,Cantabria,810,355,29.0,21.0,19,139
2020-03-27,57,Castilla La Mancha,3934,2707,273.0,367.0,153,551
2020-03-27,57,Castilla y Leon,4132,1791,228.0,252.0,423,644
2020-03-27,57,Cataluña,12940,8545,1187.0,880.0,2348,1348
2020-03-27,57,Ceuta,17,2,2.0,0.0,0,7
2020-03-27,57,C. Valenciana,3532,1422,252.0,198.0,73,332
2020-03-27,57,Extremadura,1231,277,41.0,69.0,33,262
2020-03-27,57,Galicia,2322,557,98.0,43.0,67,407
2020-03-27,57,Madrid,19243,13580,1312.0,2412.0,5044,2077
2020-03-27,57,Melilla,42,18,2.0,1.0,0,3
2020-03-27,57,Murcia,714,209,53.0,15.0,12,118
2020-03-27,57,Navarra,1641,732,75.0,58.0,70,230
2020-03-27,57,Pais Vasco,4601,2270,154.0,207.0,814,655
2020-03-27,57,La Rioja,1236,388,43.0,55.0,62,241
2020-03-28,58,Andalucia,4277,2106,172.0,175.0,139,484
2020-03-28,58,Aragon,1592,835,124.0,58.0,8,254
2020-03-28,58,Asturias,1004,408,50.0,33.0,65,104
2020-03-28,58,Baleares,862,283,59.0,26.0,80,107
2020-03-28,58,Canarias,1025,377,68.0,36.0,25,147
2020-03-28,58,Cantabria,937,406,37.0,22.0,21,127
2020-03-28,58,Castilla La Mancha,4512,2977,289.0,448.0,197,578
2020-03-28,58,Castilla y Leon,4791,2063,249.0,321.0,585,659
2020-03-28,58,Cataluña,14263,9900,1324.0,1070.0,3106,1323
2020-03-28,58,Ceuta,17,2,2.0,1.0,0,0
2020-03-28,58,C. Valenciana,4034,1694,282.0,234.0,92,502
2020-03-28,58,Extremadura,1394,312,40.0,88.0,49,163
2020-03-28,58,Galicia,2772,906,112.0,47.0,95,450
2020-03-28,58,Madrid,21520,14211,1404.0,2757.0,6326,2277
2020-03-28,58,Melilla,45,22,2.0,1.0,0,3
2020-03-28,58,Murcia,802,231,58.0,17.0,12,88
2020-03-28,58,Navarra,1829,827,84.0,70.0,98,188
2020-03-28,58,Pais Vasco,5136,2612,176.0,221.0,1023,535
2020-03-28,58,La Rioja,1436,458,43.0,65.0,364,200
2020-03-29,59,Andalucia,4682,2294,201.0,207.0,148,405
2020-03-29,59,Aragon,1858,835,124.0,93.0,8,266
2020-03-29,59,Asturias,1088,466,57.0,41.0,76,84
2020-03-29,59,Baleares,958,345,71.0,29.0,82,96
2020-03-29,59,Canarias,1125,425,78.0,39.0,30,100
2020-03-29,59,Cantabria,1023,449,40.0,26.0,25,86
2020-03-29,59,Castilla La Mancha,5246,3018,299.0,539.0,236,734
2020-03-29,59,Castilla y Leon,5414,2408,278.0,380.0,752,623
2020-03-29,59,Cataluña,15026,10688,1391.0,1226.0,3455,763
2020-03-29,59,Ceuta,21,2,2.0,1.0,0,4
2020-03-29,59,C. Valenciana,4784,1874,309.0,267.0,161,750
2020-03-29,59,Extremadura,1456,313,41.0,100.0,51,62
2020-03-29,59,Galicia,3139,1043,123.0,60.0,153,367
2020-03-29,59,Madrid,22677,14454,1429.0,3082.0,7491,1157
2020-03-29,59,Melilla,48,24,2.0,1.0,0,3
2020-03-29,59,Murcia,872,260,58.0,20.0,16,70
2020-03-29,59,Navarra,2011,896,90.0,84.0,125,182
2020-03-29,59,Pais Vasco,5740,3106,271.0,265.0,1503,604
2020-03-29,59,La Rioja,1629,497,43.0,68.0,397,193
2020-03-30,60,Andalucia,5405,2671,216.0,236.0,155,723
