CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1193,652,4599.0,9261,264,538.0
Aragón,718,385,1765.0,3685,136,261.0
Asturias,340,110,1018.0,1737,32,94.0
Baleares,696,89,751.0,1448,36,132.0
C. Valenciana,1772,767,3815.0,7964,309,541.0
Canarias,359,92,730.0,1834,72,140.0
Cantabria,214,98,720.0,1619,47,71.0
Castilla La Mancha,1766,1322,2575.0,12489,701,342.0
Castilla y León,3242,1082,5523.0,10518,460,338.0
Cataluña,13063,3148,20943.0,31043,1396,2507.0
Ceuta,7,4,9.0,84,0,4.0
Extremadura,381,283,958.0,2273,89,99.0
Galicia,910,231,2094.0,6758,220,155.0
La Rioja,1172,182,997.0,3026,75,69.0
Madrid,21121,5800,12853.0,43877,1427,1433.0
Melilla,16,2,40.0,93,0,3.0
Murcia,219,88,533.0,1356,30,87.0
Navarra,462,214,1526.0,3575,108,124.0
País Vasco,4514,689,5130.0,9806,354,433.0
ESPAÑA,52165,15238,66579.0,152446,5756,7371.0
