CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
0,0.0,0.0,0.0,0.0,0.0,0.0
Andalucía,2224.0,865.0,5147.0,10595.0,289.0,665.0
Aragón,1012.0,514.0,2006.0,4338.0,93.0,282.0
Asturias,487.0,166.0,1387.0,2096.0,45.0,114.0
Baleares,881.0,125.0,857.0,1606.0,35.0,149.0
C. Valenciana,3360.0,945.0,4465.0,9424.0,211.0,588.0
Canarias,622.0,104.0,781.0,1975.0,17.0,152.0
Cantabria,363.0,132.0,873.0,1823.0,27.0,76.0
Castilla La Mancha,2998.0,1755.0,7896.0,14680.0,351.0,495.0
Castilla y León,4521.0,1337.0,6306.0,13697.0,517.0,306.0
Cataluña,16651.0,3756.0,23372.0,36505.0,1308.0,2789.0
Ceuta,30.0,4.0,9.0,98.0,2.0,4.0
Extremadura,615.0,342.0,1155.0,2762.0,78.0,109.0
Galicia,1298.0,299.0,2471.0,7708.0,111.0,128.0
La Rioja,1585.0,246.0,1182.0,3457.0,37.0,75.0
Madrid,27433.0,6724.0,10116.0,49526.0,1478.0,1244.0
Melilla,24.0,2.0,43.0,102.0,1.0,3.0
Murcia,513.0,109.0,574.0,1520.0,33.0,97.0
Navarra,808.0,252.0,1731.0,4246.0,96.0,124.0
País Vasco,5428.0,902.0,5750.0,11475.0,249.0,471.0
ESPAÑA,70853.0,18579.0,76121.0,177633.0,4978.0,7871.0
