CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,900,528,4335,8767,186,499
Aragón,578,312,1663,3449,102,247
Asturias,244,96,889,1679,33,91
Baleares,537,84,705,1369,49,124
C. Valenciana,1103,672,1887,7443,109,384
Canarias,186,89,689,1725,76,137
Cantabria,129,85,677,1501,18,66
Castilla La Mancha,1353,1177,2908,11077,475,360
Castilla y León,2711,982,5180,9581,465,346
Cataluña,10738,2908,19745,28323,1499,2391
Ceuta,2,4,9,83,0,4
Extremadura,282,258,686,2116,48,70
Galicia,688,204,1968,6331,180,162
La Rioja,994,160,918,2846,127,66
Madrid,18410,5371,13950,40469,1746,1494
Melilla,11,2,40,92,6,3
Murcia,193,78,500,1283,24,84
Navarra,421,202,1488,3355,124,124
País Vasco,3728,586,4856,9021,211,417
ESPAÑA,43208,13798,63093,140510,5478,7069
